participant_id,real_weight,virtual_weight,borg,q2,q9,q11,q17,q18,q32,q37,q38,q21,q36,q40,q54,q56,q60,q30,q48,q61,q70
23,HC,HV,13,7,6,2,5,7,10,4,8,7,7,5,8,10,9,7,8,7,7
24,HC,HV,16,8,10,9,6,8,9,9,9,9,7,10,9,10,7,9,10,9,7
25,HC,HV,7,7,6,8,8,3,3,5,1,9,8,6,9,8,9,8,10,8,9
26,HC,HV,19,9,9,8,8,9,9,10,10,9,8,0,9,9,10,8,8,8,8
27,HC,HV,16,9,8,7,8,7,9,7,9,9,8,8,9,10,9,8,7,7,8
28,HC,HV,7,8,7,7,7,7,7,7,6,6,5,6,7,9,7,6,6,7,7
29,HC,HV,13,7,3,3,5,6,5,8,5,7,4,3,7,3,7,7,9,8,7
30,HC,HV,15,8,6,2,6,6,4,8,5,6,6,3,7,6,8,5,7,8,5
31,HC,HV,12,9,8,8,8,8,9,8,7,10,10,7,9,10,10,6,7,8,3
32,HC,HV,9,5,5,3,7,7,5,5,4,4,7,8,6,9,7,8,9,9,7
