id,cond,block,trial,real_weight,virtual_weight,rt_ms,tracked_path,target_x,target_y,target_z,gc_distance_last_target,camera_x,camera_y,camera_z,distance_camera_target
1,HC-HV,1,18,HC,HV,1688.236,2.265194,0.7745115,2.945513,4.084251,1.976131,0.1145861,1.599989,-0.6904241,5.004344
1,HC-HV,1,19,HC,HV,1432.587,2.34032,-1.160134,3.370965,3.808324,2.000625,0.09724176,1.602286,-0.6763741,4.982141
1,HC-HV,1,20,HC,HV,1188.61,2.068733,-0.7854372,1.455045,4.242894,2.009363,0.09725291,1.594425,-0.6663121,4.989877
1,HC-HV,1,21,HC,HV,1643.417,2.664613,0.6031333,0.02796757,4.054947,1.992594,0.1127687,1.569192,-0.6510184,4.976138
1,HC-HV,1,22,HC,HV,2288.002,2.593382,0.4134068,2.001063,4.321215,2.004451,0.1171882,1.582734,-0.6633854,5.010887
1,HC-HV,1,23,HC,HV,2099.186,2.533459,-0.7375889,0.3786862,4.113604,2.001924,0.09859115,1.574265,-0.6379739,4.970522
1,HC-HV,1,24,HC,HV,1477.291,2.41676,-2.174616,1.736718,3.812435,2.001853,0.08615285,1.580362,-0.6536638,5.00815
1,HC-HV,1,25,HC,HV,1798.889,2.247704,-3.39144,0.5296177,2.781781,1.992725,0.05619484,1.575552,-0.6566178,4.980237
1,HC-HV,1,26,HC,HV,1354.938,2.194484,-1.712799,0.1055993,3.782965,1.998111,0.0705412,1.569914,-0.6407453,4.989363
1,HC-HV,1,27,HC,HV,1721.439,2.209275,-0.2696617,1.371657,4.343726,1.989982,0.103672,1.573261,-0.6559137,5.017611
1,HC-HV,1,28,HC,HV,2087.925,2.375641,0.1089309,3.31068,4.032513,1.974077,0.1226685,1.606215,-0.6613363,4.993757
1,HC-HV,1,29,HC,HV,1877.052,2.43693,-1.411206,2.011871,4.080253,1.995263,0.1016113,1.598884,-0.6588489,4.991819
1,HC-HV,1,30,HC,HV,1443.802,2.177119,-2.74921,3.162793,3.139441,2.001188,0.0802018,1.601932,-0.6594074,4.987295
1,HC-HV,1,31,HC,HV,1521.461,1.966299,-3.910914,1.739395,2.349262,1.987694,0.04133767,1.589115,-0.6639029,4.972127
1,HC-HV,1,32,HC,HV,2388.657,2.337428,-2.888194,0.2180444,3.148971,2.000345,0.04187691,1.566425,-0.6553805,4.987638
1,HC-HV,1,33,HC,HV,1476.494,2.214373,-1.094828,0.2543264,4.033574,1.983422,0.07265657,1.559927,-0.6419725,4.99283
1,HC-HV,1,34,HC,HV,2043.755,2.591923,0.2187347,1.728261,4.353057,1.980383,0.103565,1.579075,-0.6376687,4.994283
1,HC-HV,1,35,HC,HV,1376.648,2.12003,2.137662,2.068398,3.903588,1.984043,0.1369417,1.58655,-0.636626,4.984838
1,HC-HV,1,36,HC,HV,1566.2,2.113492,1.679736,0.1215886,3.888158,2.004652,0.1362169,1.569946,-0.6176938,4.978241
1,HC-HV,1,37,HC,HV,1154.77,1.956952,2.569561,1.906369,3.737263,1.999186,0.1428407,1.581589,-0.6404427,5.015851
1,HC-HV,1,38,HC,HV,1776.962,2.986408,0.6849923,2.301871,4.277612,1.982341,0.1155624,1.59446,-0.6520466,5.012606
1,HC-HV,1,39,HC,HV,1421.631,2.329319,1.306329,0.4135262,4.058311,1.988369,0.1239071,1.571176,-0.6486208,4.989337
1,HC-HV,1,40,HC,HV,2188.072,2.400989,2.769919,1.694354,3.592069,1.99057,0.1421797,1.582117,-0.6641229,5.003277
1,HC-HV,1,41,HC,HV,1554.749,2.13235,4.160101,1.116957,2.275253,1.98284,0.1729897,1.58193,-0.6807023,4.985071
1,HC-HV,1,42,HC,HV,1310.547,1.40613,3.693411,3.041364,2.556068,1.997367,0.1612157,1.59801,-0.69709,5.014251
1,HC-HV,1,43,HC,HV,1288.261,2.337666,2.041478,3.1129,3.681234,1.982542,0.1302909,1.604527,-0.6970959,5.00975
1,HC-HV,1,44,HC,HV,1843.643,2.005472,3.358817,1.716937,3.119183,1.996985,0.146241,1.589183,-0.6854395,4.981176
1,HC-HV,1,45,HC,HV,1189.407,2.091294,1.997503,0.4253681,3.811044,1.997422,0.1368298,1.570119,-0.6794297,4.993687
1,HC-HV,1,46,HC,HV,2653.236,2.289614,0.8428485,1.997742,4.251967,2.001436,0.1230064,1.576246,-0.6762928,4.998358
1,HC-HV,1,47,HC,HV,1288.223,2.093593,-1.10561,2.421116,4.096201,1.97735,0.08810675,1.585902,-0.6829673,4.996297
